k,F_measure,precision,recall
1,0.7349551856594111,0.7532808398950132,0.7175
2,0.6180758017492711,0.7412587412587412,0.53
3,0.6466916354556803,0.6458852867830424,0.6475
4,0.5830985915492959,0.667741935483871,0.5175
5,0.6076923076923078,0.6236842105263158,0.5925
6,0.5536723163841808,0.6363636363636364,0.49
7,0.5917312661498708,0.6122994652406417,0.5725
8,0.5232067510548524,0.5980707395498392,0.465
9,0.5591677503250976,0.5826558265582655,0.5375
10,0.5361111111111111,0.603125,0.4825
11,0.5570291777188329,0.5932203389830508,0.525
12,0.523470839260313,0.6072607260726073,0.46
13,0.537037037037037,0.5702247191011236,0.5075
14,0.5084269662921348,0.5801282051282052,0.4525
15,0.5406824146981627,0.569060773480663,0.515
16,0.5153203342618383,0.5817610062893082,0.4625
17,0.5298013245033112,0.5633802816901409,0.5
18,0.5089408528198074,0.5657492354740061,0.4625
19,0.5364583333333334,0.5597826086956522,0.515
20,0.5082872928176795,0.5679012345679012,0.46
21,0.5347313237221494,0.5619834710743802,0.51
22,0.5090403337969402,0.5736677115987461,0.4575
23,0.5321100917431193,0.559228650137741,0.5075
24,0.5145228215767634,0.5758513931888545,0.465
25,0.537037037037037,0.5702247191011236,0.5075
26,0.5276243093922651,0.5895061728395061,0.4775
27,0.543046357615894,0.5774647887323944,0.5125
28,0.5173852573018082,0.5830721003134797,0.465
29,0.5234899328859061,0.5652173913043478,0.4875
30,0.49577464788732395,0.567741935483871,0.44
31,0.5082872928176795,0.5679012345679012,0.46
32,0.49645390070921985,0.5737704918032787,0.4375
33,0.5251700680272108,0.5761194029850746,0.4825
34,0.5,0.5833333333333334,0.4375
35,0.517193947730399,0.5749235474006116,0.47
36,0.4920405209840811,0.584192439862543,0.425
37,0.5069252077562327,0.5683229813664596,0.4575
38,0.4963924963924963,0.5870307167235495,0.43
39,0.5076708507670851,0.5741324921135647,0.455
40,0.49132947976878616,0.5821917808219178,0.425
41,0.5055555555555556,0.56875,0.455
42,0.4892703862660944,0.5719063545150501,0.4275
43,0.5068870523415978,0.5644171779141104,0.46
44,0.5028571428571429,0.5866666666666667,0.44
45,0.5253077975376197,0.5800604229607251,0.48
46,0.49067431850789095,0.5757575757575758,0.4275
47,0.5021156558533145,0.5760517799352751,0.445
48,0.4862518089725036,0.5773195876288659,0.42
49,0.5014005602240896,0.5700636942675159,0.4475
50,0.4978540772532189,0.5819397993311036,0.435
51,0.5117565698478562,0.5727554179566563,0.4625
52,0.4840579710144927,0.5758620689655173,0.4175
53,0.49579831932773116,0.5636942675159236,0.4425
54,0.48185776487663284,0.5743944636678201,0.415
55,0.5056179775280899,0.5769230769230769,0.45
56,0.4935064935064935,0.5836177474402731,0.4275
57,0.5070028011204482,0.5764331210191083,0.4525
58,0.4832605531295488,0.578397212543554,0.415
59,0.4971751412429378,0.5714285714285714,0.44
60,0.4750733137829912,0.574468085106383,0.405
61,0.5,0.5789473684210527,0.44
62,0.4889543446244477,0.5949820788530465,0.415
63,0.5021156558533145,0.5760517799352751,0.445
64,0.4861717612809316,0.5818815331010453,0.4175
65,0.5064011379800853,0.5874587458745875,0.445
66,0.4978292329956584,0.5910652920962199,0.43
67,0.5189340813464236,0.5910543130990416,0.4625
68,0.5072463768115941,0.603448275862069,0.4375
69,0.5127478753541076,0.5915032679738562,0.4525
70,0.4992700729927008,0.6,0.4275
71,0.5252808988764045,0.5993589743589743,0.4675
72,0.4817518248175182,0.5789473684210527,0.4125
73,0.49647390691114246,0.56957928802589,0.44
74,0.4774381368267831,0.5714285714285714,0.41
75,0.5056497175141244,0.5811688311688312,0.4475
76,0.48034934497816595,0.5749128919860628,0.4125
77,0.4971751412429378,0.5714285714285714,0.44
78,0.4693877551020408,0.5629370629370629,0.4025
79,0.4851904090267984,0.5566343042071198,0.43
80,0.4746743849493488,0.563573883161512,0.41
81,0.49083215796897034,0.5631067961165048,0.435
82,0.4723032069970846,0.5664335664335665,0.405
83,0.49222065063649223,0.5667752442996743,0.435
84,0.48703170028818443,0.5748299319727891,0.4225
85,0.5021037868162692,0.5718849840255591,0.4475
86,0.47550432276657056,0.5612244897959183,0.4125
87,0.4972222222222222,0.559375,0.4475
88,0.4820659971305595,0.5656565656565656,0.42
89,0.48256624825662486,0.5457413249211357,0.4325
90,0.46351931330472107,0.5418060200668896,0.405
91,0.4804469273743017,0.5443037974683544,0.43
92,0.4566473988439307,0.541095890410959,0.395
93,0.4661016949152542,0.5357142857142857,0.4125
94,0.45151953690303903,0.5360824742268041,0.39
95,0.4739069111424542,0.5436893203883495,0.42
96,0.44992743105950656,0.5363321799307958,0.3875
97,0.46760563380281694,0.535483870967742,0.415
98,0.45375722543352603,0.5376712328767124,0.3925
99,0.47058823529411764,0.535031847133758,0.42
